location,location_type,total_jobs_added_2008_2018,jobs_per_1_000_residents_2008_2018,total_building_permits_2008_2018,permits_per_1_000_residents_2008_2018,jobs_per_permit_2008_2018,multi_family_permit_share_1990_2005,multi_family_permit_share_2006_2018,average_size_of_multi_family_properties_1990_2005,average_size_of_multi_family_properties_2006_2018
"Boise City, ID",Metro,49274,7.3,47624,7,1,14.8%,19.4%,5.3,7.3
"Boston-Cambridge-Newton, MA-NH",Metro,275033,5.8,108406,2.3,2.5,26.9%,58.1%,7.8,13
"Boulder, CO",Metro,21241,6.7,13673,4.3,1.6,25.0%,57.9%,9.3,13.7
"Bremerton-Silverdale, WA",Metro,6232,2.4,8260,3.2,0.8,16.0%,14.9%,7.6,8
"Bridgeport-Stamford-Norwalk, CT",Metro,1329,0.1,16907,1.8,0.1,27.4%,53.1%,9.6,17.4
"Brownsville-Harlingen, TX",Metro,14361,3.4,12919,3.1,1.1,16.5%,14.4%,4.9,4.5
"Buffalo-Cheektowaga-Niagara Falls, NY",Metro,10974,1,15995,1.4,0.7,24.8%,36.9%,7.4,10.3
"Burlington-South Burlington, VT",Metro,9017,4.2,7781,3.6,1.2,22.7%,50.1%,5.7,8.1
"Canton-Massillon, OH",Metro,-359,-0.1,4891,1.2,-0.1,16.7%,19.2%,3.8,4.6
"Cape Coral-Fort Myers, FL",Metro,53223,7.6,42092,6,1.3,33.9%,27.4%,6.8,9.3
"Cedar Rapids, IA",Metro,4927,1.9,9215,3.5,0.5,38.7%,31.2%,6.1,4.1
"Champaign-Urbana, IL",Metro,-2043,-0.9,9094,3.8,-0.2,36.4%,60.0%,10.2,17.3
"Charleston, WV",Metro,-14752,-6.7,2113,1,-7,18.3%,40.7%,6.3,6.3
"Charleston-North Charleston, SC",Metro,59691,8,53829,7.2,1.1,18.8%,27.0%,9.4,21.5
"Charlotte-Concord-Gastonia, NC-SC",Metro,189711,7.8,159185,6.6,1.2,22.0%,30.9%,10.2,22.9
"Charlottesville, VA",Metro,11813,5.2,11160,4.9,1.1,23.6%,28.3%,7.3,17
"Chattanooga, TN-GA",Metro,13380,2.5,18483,3.5,0.7,13.3%,23.2%,5,10.2
"Chicago-Naperville-Elgin, IL-IN-WI",Metro,186691,2,133187,1.4,1.4,26.6%,47.6%,7.6,14.7
"Chico, CA",Metro,8039,3.6,5377,2.4,1.5,17.0%,28.1%,5.3,8.2
"Cincinnati, OH-KY-IN",Metro,49866,2.3,46166,2.1,1.1,23.0%,25.4%,7.6,9.5
"Claremont-Lebanon, NH-VT",Metro,781,0.4,3943,1.8,0.2,12.7%,21.1%,4.6,9.5
"Clarksville, TN-KY",Metro,9686,3.5,17249,6.2,0.6,20.8%,25.6%,5.5,5.8
"Cleveland-Elyria, OH",Metro,-8930,-0.4,25949,1.3,-0.3,15.9%,13.8%,5.5,6.8
"College Station-Bryan, TX",Metro,21539,8.7,18217,7.3,1.2,42.2%,50.3%,6.4,11.3
"Colorado Springs, CO",Metro,31861,4.6,35205,5,0.9,15.1%,20.0%,11.8,18.7
"Columbia, MO",Metro,11396,6.5,11072,6.3,1,31.3%,37.5%,3.3,10.4
"Columbia, SC",Metro,30437,3.8,39628,4.9,0.8,14.9%,17.8%,11.2,16.4
"Columbus, GA-AL",Metro,1457,0.5,10625,3.5,0.1,26.5%,30.1%,8.1,10.1
"Columbus, OH",Metro,114871,5.7,70178,3.5,1.6,32.3%,47.1%,6.9,11.5
"Corpus Christi, TX",Metro,8131,1.8,17349,3.9,0.5,24.5%,23.3%,6.5,11.2
"Crestview-Fort Walton Beach-Destin, FL",Metro,12314,4.7,18220,7,0.7,32.1%,15.7%,16,11.4
"Dallas-Fort Worth-Arlington, TX",Metro,589514,8.3,418987,5.9,1.4,26.7%,41.5%,15.4,28.1
"Daphne-Fairhope-Foley, AL",Metro,11405,5.6,16517,8.1,0.7,29.0%,23.3%,15.1,11
"Davenport-Moline-Rock Island, IA-IL",Metro,-3571,-0.9,6729,1.8,-0.5,24.2%,30.0%,8.2,9.5
"Dayton, OH",Metro,3001,0.4,10036,1.3,0.3,30.3%,14.0%,6.4,8.9
"Deltona-Daytona Beach-Ormond Beach, FL",Metro,17492,2.8,19734,3.2,0.9,16.2%,17.4%,9.4,10.8
"Denver-Aurora-Lakewood, CO",Metro,236506,8.6,139025,5.1,1.7,27.2%,47.6%,11.6,23.6
"Des Moines-West Des Moines, IA",Metro,43571,7,45151,7.2,1,23.7%,33.0%,10,18.2
"Detroit-Warren-Dearborn, MI",Metro,111967,2.6,57296,1.3,2,19.0%,20.6%,8.3,8.8
"Dover, DE",Metro,4092,2.4,10401,6,0.4,13.2%,14.8%,8.4,9.5
"Duluth, MN-WI",Metro,1808,0.6,5889,2.1,0.3,14.9%,23.9%,5.8,7.7
"Durham-Chapel Hill, NC",Metro,29497,5.4,36222,6.6,0.8,27.5%,33.9%,11,20.2
"East Stroudsburg, PA",Metro,-2701,-1.6,2025,1.2,-1.3,4.8%,4.8%,5,7
"El Centro, CA",Metro,3057,1.7,2490,1.4,1.2,22.2%,23.4%,8.1,7.8
"Elkhart-Goshen, IN",Metro,23236,11.5,2933,1.4,7.9,19.3%,11.6%,7.9,9.1
"El Paso, TX",Metro,34911,4.2,36626,4.4,1,15.4%,27.2%,6.1,8.1
"Erie, PA",Metro,-5620,-2,3821,1.4,-1.5,20.6%,35.1%,5.6,9.3
"Eugene, OR",Metro,9018,2.5,9329,2.6,1,31.9%,35.5%,5.6,9.2
"Evansville, IN-KY",Metro,3257,1,7131,2.3,0.5,19.8%,25.2%,7.9,6.1
"Fargo, ND-MN",Metro,19530,8.4,23004,9.9,0.8,50.3%,50.8%,14.5,28.2
"Fayetteville, NC",Metro,-117,0,19192,5,0,24.6%,34.0%,10.5,15.7
"Fayetteville-Springdale-Rogers, AR-MO",Metro,41552,8.1,30352,5.9,1.4,38.2%,27.4%,5.3,7.8
"Flint, MI",Metro,-1084,-0.3,2836,0.7,-0.4,22.3%,17.8%,9.3,9.7
"Florence, SC",Metro,3062,1.5,4820,2.3,0.6,15.1%,18.9%,5.5,7.3
"Fort Collins, CO",Metro,30998,9.4,21384,6.5,1.4,21.1%,38.8%,6.7,13.1
"Fort Smith, AR-OK",Metro,-9892,-3.5,6467,2.3,-1.5,27.2%,31.8%,4.7,3.1
"Fort Wayne, IN",Metro,7945,1.9,12519,2.9,0.6,16.5%,21.9%,7.1,7.3
"Fresno, CA",Metro,35802,3.7,23694,2.4,1.5,16.8%,20.3%,5.6,7.2
"Gainesville, FL",Metro,9873,3.6,9868,3.6,1,41.1%,47.8%,10.9,20.2
"Gainesville, GA",Metro,14016,7.3,7893,4.1,1.8,13.9%,16.2%,10.1,13.3
"Grand Rapids-Wyoming, MI",Metro,93936,9,28542,2.7,3.3,20.4%,25.4%,7.7,11.7
"Greeley, CO",Metro,26661,9.3,22345,7.8,1.2,9.7%,17.6%,5.7,10
"Green Bay, WI",Metro,9846,3.1,10451,3.3,0.9,33.3%,32.1%,5.9,8.2
"Greensboro-High Point, NC",Metro,-4146,-0.6,22802,3,-0.2,21.2%,32.2%,9.5,15.3
"Greenville, NC",Metro,4402,2.5,7486,4.2,0.6,47.9%,44.3%,8,6.2
"Greenville-Anderson-Mauldin, SC",Metro,43531,5,40382,4.6,1.1,14.8%,18.9%,7.1,16.2
"Gulfport-Biloxi-Pascagoula, MS",Metro,-4159,-1.1,20833,5.4,-0.2,21.8%,29.2%,9.1,7.4
"Hagerstown-Martinsburg, MD-WV",Metro,5158,2,8924,3.4,0.6,11.4%,10.4%,4.6,7.3
"Harrisburg-Carlisle, PA",Metro,10799,1.9,16251,2.9,0.7,14.2%,21.1%,6.9,11.3
"Hartford-West Hartford-East Hartford, CT",Metro,4012,0.3,14676,1.2,0.3,14.3%,36.8%,7.5,8.9
"Hickory-Lenoir-Morganton, NC",Metro,-1721,-0.5,6462,1.8,-0.3,13.9%,13.1%,5.4,6.8
"Hilo, HI",Metro,3725,1.9,8590,4.4,0.4,15.4%,14.8%,7,8.5
"Hilton Head Island-Bluffton-Beaufort, SC",Metro,7358,3.6,13207,6.4,0.6,18.0%,13.0%,9.3,12.8
"Houma-Thibodaux, LA",Metro,-12211,-5.8,5404,2.6,-2.3,5.3%,9.7%,7.1,5.5
"Houston-The Woodlands-Sugar Land, TX",Metro,415405,6.3,445713,6.7,0.9,25.7%,28.9%,14.4,22.5
"Huntington-Ashland, WV-KY-OH",Metro,-7979,-2.2,3427,1,-2.3,23.7%,33.4%,8.6,5.9
"Huntsville, AL",Metro,19305,4.3,26195,5.9,0.7,20.0%,16.5%,10.5,16.1
"Indianapolis-Carmel-Anderson, IN",Metro,104963,5.3,72797,3.7,1.4,18.4%,28.2%,7,9.9
"Jackson, MS",Metro,10673,1.8,15498,2.7,0.7,20.0%,4.3%,9.3,7.5
"Jacksonville, FL",Metro,83266,5.8,84336,5.8,1,22.6%,26.5%,12.7,17.1
"Jacksonville, NC",Metro,2525,1.3,15279,7.9,0.2,15.6%,11.7%,5.7,6.1
"Johnson City, TN",Metro,209,0.1,6352,3.2,0,26.8%,25.3%,7,10.4
"Joplin, MO",Metro,-889,-0.5,4241,2.4,-0.2,23.9%,25.8%,3.7,4.1
"Kalamazoo-Portage, MI",Metro,4185,1.2,5681,1.7,0.7,20.3%,21.1%,7.2,6.8
"Kansas City, MO-KS",Metro,67400,3.2,69431,3.3,1,22.3%,41.1%,5.7,11.1
"Kennewick-Richland, WA",Metro,22735,8.1,16065,5.7,1.4,19.6%,15.6%,8.6,8.7
"Killeen-Temple, TX",Metro,15571,3.6,23814,5.5,0.7,23.8%,21.6%,3.8,3.5
"Kingsport-Bristol-Bristol, TN-VA",Metro,-3948,-1.3,5640,1.8,-0.7,13.3%,23.6%,5.5,7.4
"Kingston, NY",Metro,570,0.3,2652,1.5,0.2,13.2%,35.8%,5.5,8.8
"Knoxville, TN",Metro,19505,2.3,28918,3.4,0.7,14.6%,21.2%,6.7,16.9
"Lafayette, LA",Metro,-15595,-3.2,17557,3.6,-0.9,6.3%,12.7%,8.7,8.5
"Lafayette-West Lafayette, IN",Metro,8860,4.1,8918,4.2,1,34.2%,37.5%,6.7,14.7
"Lake Charles, LA",Metro,13966,7,11687,5.9,1.2,21.0%,34.8%,5.5,7.6
"Lake Havasu City-Kingman, AZ",Metro,253,0.1,5319,2.6,0,11.4%,8.8%,4.1,3.2
"Lakeland-Winter Haven, FL",Metro,18994,2.9,27147,4.2,0.7,13.4%,10.6%,7.8,13.3
"Lancaster, PA",Metro,13503,2.5,12502,2.3,1.1,18.0%,21.7%,6.2,6.9
"Lansing-East Lansing, MI",Metro,5136,1.1,7694,1.6,0.7,24.5%,38.2%,9,18.5
"Laredo, TX",Metro,12626,4.7,12965,4.8,1,26.3%,30.4%,9.4,13.1
"Las Cruces, NM",Metro,3618,1.7,8730,4.1,0.4,18.8%,13.0%,10,7.1
"Las Vegas-Henderson-Paradise, NV",Metro,90358,4.3,92592,4.4,1,27.3%,33.1%,9.3,17.8
"Lexington-Fayette, KY",Metro,21355,4.3,20391,4.1,1,15.5%,32.2%,5.9,13.4
"Lincoln, NE",Metro,14123,4.4,16893,5.2,0.8,32.7%,38.8%,9.9,18.2
"Little Rock-North Little Rock-Conway, AR",Metro,6674,0.9,28143,3.9,0.2,27.1%,33.3%,8.2,10.9
"Longview, TX",Metro,-1464,-0.7,3799,1.8,-0.4,21.3%,40.8%,8.8,7.7
"Los Angeles-Long Beach-Anaheim, CA",Metro,419276,3.2,228273,1.7,1.8,45.0%,67.5%,10.4,17
"Louisville/Jefferson County, KY-IN",Metro,63385,5,38283,3,1.7,17.6%,32.8%,7.7,12.4
"Lubbock, TX",Metro,15469,5,18025,5.8,0.9,35.5%,39.3%,5.5,10.3
"Lynchburg, VA",Metro,57,0,7362,2.8,0,7.7%,19.4%,4.1,16.3
"Macon, GA",Metro,1041,0.5,3509,1.5,0.3,17.7%,21.2%,7.8,13.2
"Madison, WI",Metro,34794,5.4,30205,4.7,1.2,42.7%,57.2%,6.6,16.9
"Manchester-Nashua, NH",Metro,7976,2,8509,2.1,0.9,18.3%,37.5%,7.1,9.9
"McAllen-Edinburg-Mission, TX",Metro,42013,5,37885,4.5,1.1,17.1%,22.2%,4.3,4.8
"Medford, OR",Metro,7834,3.7,6363,3,1.2,19.8%,18.5%,4.9,6.2
"Memphis, TN-MS-AR",Metro,10390,0.8,33643,2.5,0.3,17.9%,26.1%,10.4,17.1
"Merced, CA",Metro,10557,3.9,2954,1.1,3.6,5.4%,8.2%,6,6.3
"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,150921,4.5,72670,2.2,2.1,32.4%,49.9%,13.4,19.8
"Milwaukee-Waukesha-West Allis, WI",Metro,11556,0.7,25773,1.6,0.4,41.7%,47.4%,7.3,15.8
"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,168143,4.8,110025,3.1,1.5,21.2%,38.2%,9.3,34.4
"Mobile, AL",Metro,-4304,-1,11599,2.8,-0.4,15.3%,31.0%,12,14.6
"Modesto, CA",Metro,18324,3.4,4342,0.8,4.2,7.7%,16.3%,4.8,9.9
"Monroe, LA",Metro,-81,0,5611,3.1,0,14.8%,19.1%,4.9,3.4
"Montgomery, AL",Metro,-6404,-1.7,8984,2.4,-0.7,19.3%,22.6%,8.6,12.6
"Muskegon, MI",Metro,994,0.6,1761,1,0.6,12.4%,8.2%,6.3,3.3
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Metro,19155,4.4,50864,11.8,0.4,34.3%,14.8%,10.9,11.9
"Naples-Immokalee-Marco Island, FL",Metro,22937,6.4,27892,7.8,0.8,50.4%,31.3%,8.4,8.8
"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,175773,9.6,130103,7.1,1.4,16.9%,29.2%,8.4,22.4
"New Haven-Milford, CT",Metro,2350,0.3,8836,1,0.3,20.0%,45.5%,8.9,10.7
"New Orleans-Metairie, LA",Metro,29797,2.5,26760,2.2,1.1,15.2%,22.7%,6.8,5.7
"New York-Newark-Jersey City, NY-NJ-PA",Metro,864574,4.3,407585,2,2.1,44.8%,76.3%,5.6,13.1
"North Port-Sarasota-Bradenton, FL",Metro,34211,4.5,53999,7,0.6,24.2%,27.1%,10,12.8
"Norwich-New London, CT",Metro,-6962,-2.6,4111,1.5,-1.7,14.0%,30.4%,7.8,8.4
"Ocala, FL",Metro,2202,0.6,10567,3.1,0.2,7.7%,6.2%,6.4,5.8
"Ogden-Clearfield, UT",Metro,39794,6.2,28048,4.4,1.4,12.5%,22.0%,5.6,8.6
"Oklahoma City, OK",Metro,53354,3.9,56193,4.2,0.9,15.0%,13.0%,8.6,7.3
"Olympia-Tumwater, WA",Metro,15849,5.9,12723,4.7,1.2,13.7%,22.7%,5.8,9.8
"Omaha-Council Bluffs, NE-IA",Metro,29564,3.2,40078,4.4,0.7,25.4%,29.7%,12.3,20.7
"Orlando-Kissimmee-Sanford, FL",Metro,218027,9.1,151605,6.3,1.4,30.1%,35.4%,13.5,19.6
"Oshkosh-Neenah, WI",Metro,2997,1.8,4364,2.6,0.7,38.2%,36.1%,6.5,8
"Oxnard-Thousand Oaks-Ventura, CA",Metro,12562,1.5,11202,1.3,1.1,25.0%,52.0%,8.5,9.5
"Palm Bay-Melbourne-Titusville, FL",Metro,15450,2.7,17352,3.1,0.9,16.1%,18.7%,11.8,18
"Panama City, FL",Metro,5040,2.6,8472,4.3,0.6,40.0%,37.5%,15.5,11.7
"Pensacola-Ferry Pass-Brent, FL",Metro,16352,3.4,20135,4.2,0.8,13.1%,14.6%,7.6,10.5
"Peoria, IL",Metro,-16248,-4.3,5519,1.5,-2.9,20.4%,16.8%,4.3,5.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metro,103547,1.7,106505,1.8,1,16.0%,40.0%,10.5,10.2
"Phoenix-Mesa-Scottsdale, AZ",Metro,231053,5.1,193338,4.2,1.2,17.9%,27.1%,10.4,14.3
"Pittsburgh, PA",Metro,19214,0.8,39813,1.7,0.5,18.9%,22.4%,7.2,9.6
"Portland-South Portland, ME",Metro,16269,3.1,18001,3.4,0.9,9.7%,17.5%,4.5,6.2
"Portland-Vancouver-Hillsboro, OR-WA",Metro,160013,6.7,104439,4.4,1.5,32.1%,46.1%,8.2,18.7
"Port St. Lucie, FL",Metro,17981,4,14356,3.2,1.3,20.5%,16.2%,6.9,7
"Prescott, AZ",Metro,3845,1.7,10444,4.7,0.4,13.7%,12.8%,3.8,8.4
"Providence-Warwick, RI-MA",Metro,21589,1.3,17519,1.1,1.2,13.8%,21.8%,4.7,4.6
"Provo-Orem, UT",Metro,70025,11.9,40550,6.9,1.7,22.8%,23.6%,5.9,10
"Punta Gorda, FL",Metro,5808,3.4,7684,4.4,0.8,22.7%,17.2%,5.9,4.7
"Racine, WI",Metro,258,0.1,2502,1.3,0.1,32.6%,25.7%,6,6.1
"Raleigh, NC",Metro,114065,9,108108,8.5,1.1,20.2%,29.3%,11.4,27.7
"Reading, PA",Metro,5180,1.2,4231,1,1.2,11.5%,17.3%,7,7.6
"Redding, CA",Metro,1079,0.6,2748,1.5,0.4,13.9%,16.8%,4.7,6.1
"Reno, NV",Metro,27720,6.2,22117,4.9,1.3,21.5%,34.4%,10,12.9
"Richmond, VA",Metro,43225,3.4,45091,3.6,1,12.4%,23.5%,9.4,12.4
"Riverside-San Bernardino-Ontario, CA",Metro,229902,5.1,93202,2.1,2.5,12.1%,21.3%,8.4,9.2
"Roanoke, VA",Metro,-2888,-0.9,5431,1.7,-0.5,11.0%,15.5%,5.6,14.1
"Rochester, MN",Metro,9710,4.5,10425,4.9,0.9,22.5%,38.5%,6.3,25.1
"Rochester, NY",Metro,10609,1,18225,1.7,0.6,20.3%,29.3%,8.4,8
"Rockford, IL",Metro,-5197,-1.5,1917,0.6,-2.7,22.5%,13.3%,4,3
"Sacramento--Roseville--Arden-Arcade, CA",Metro,78380,3.5,50423,2.2,1.6,17.7%,20.1%,9.1,12.5
"Saginaw, MI",Metro,915,0.5,2398,1.2,0.4,19.1%,39.4%,4.2,4.6
"St. Cloud, MN",Metro,6124,3.1,6519,3.3,0.9,22.1%,34.7%,11.2,17.1
"St. Louis, MO-IL",Metro,28400,1,63288,2.3,0.4,14.8%,24.3%,5.3,10.2
"Salem, OR",Metro,17475,4.3,10594,2.6,1.6,32.6%,34.5%,5.5,7.8
"Salinas, CA",Metro,23147,5.3,4394,1,5.3,16.1%,36.5%,5.8,8.4
"Salisbury, MD-DE",Metro,10469,2.7,27791,7,0.4,14.7%,22.0%,7,5.3
"Salt Lake City, UT",Metro,113868,9.7,56392,4.8,2,23.4%,39.0%,9,15.1
"San Antonio-New Braunfels, TX",Metro,178784,7.5,88458,3.7,2,25.0%,32.0%,12.1,13.7
"San Diego-Carlsbad, CA",Metro,147378,4.5,73564,2.2,2,37.6%,61.1%,9.1,15.4
"San Francisco-Oakland-Hayward, CA",Metro,367849,7.9,106586,2.3,3.5,36.9%,65.0%,12.5,27.2
"San Jose-Sunnyvale-Santa Clara, CA",Metro,193066,9.8,60941,3.1,3.2,50.7%,70.8%,14.4,28.6
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Metro,13395,4.8,7033,2.5,1.9,11.6%,25.3%,5.1,6.2
"Santa Cruz-Watsonville, CA",Metro,7456,2.7,2994,1.1,2.5,27.8%,42.0%,7.3,8.5
"Santa Maria-Santa Barbara, CA",Metro,11158,2.5,6610,1.5,1.7,27.0%,38.9%,5.1,8.7
"Santa Rosa, CA",Metro,19663,3.9,9817,2,2,22.8%,26.2%,7.5,9.6
"Savannah, GA",Metro,22913,6.1,19686,5.2,1.2,20.7%,18.9%,8.7,11.1
"Scranton--Wilkes-Barre--Hazleton, PA",Metro,-715,-0.1,8103,1.5,-0.1,10.7%,9.9%,4.3,5.9
"Seattle-Tacoma-Bellevue, WA",Metro,275676,7.4,193842,5.2,1.4,37.7%,56.2%,8.6,16.6
"Shreveport-Bossier City, LA",Metro,-12567,-2.8,13697,3.1,-0.9,13.6%,15.9%,7.4,11.1
"Sioux City, IA-NE-SD",Metro,1855,1.1,3922,2.3,0.5,33.6%,20.2%,8.9,5.7
"Sioux Falls, SD",Metro,20143,8,20425,8.2,1,28.6%,42.5%,10.5,11
"South Bend-Mishawaka, IN-MI",Metro,1467,0.5,5478,1.7,0.3,22.8%,42.8%,11,14.9
"Spartanburg, SC",Metro,23220,7.1,13180,4,1.8,11.6%,1.6%,7,12.7
"Spokane-Spokane Valley, WA",Metro,13955,2.5,24058,4.4,0.6,32.4%,40.0%,8,10.4
"Springfield, IL",Metro,100,0,3927,1.9,0,25.0%,32.7%,3.1,3.8
"Springfield, MA",Metro,17643,2.8,5319,0.8,3.3,15.4%,19.6%,3.4,4.5
"Springfield, MO",Metro,15544,3.5,17524,4,0.9,26.0%,40.7%,5.5,11.5
"Stockton-Lodi, CA",Metro,32142,4.4,16431,2.3,2,5.1%,11.2%,6.9,9.4
"Syracuse, NY",Metro,-4995,-0.8,11561,1.8,-0.4,14.6%,34.5%,6.2,15.9
"Tallahassee, FL",Metro,6536,1.7,15096,4,0.4,29.6%,34.9%,8.2,16
"Tampa-St. Petersburg-Clearwater, FL",Metro,112886,3.8,123629,4.2,0.9,28.6%,33.3%,10.4,18.8
"Terre Haute, IN",Metro,-2427,-1.4,2623,1.5,-0.9,20.6%,56.4%,5.1,8.2
"Toledo, OH",Metro,2656,0.4,7851,1.3,0.3,27.7%,29.8%,6.4,7.3
"Topeka, KS",Metro,-311,-0.1,3510,1.5,-0.1,16.8%,15.5%,4.3,5.3
"Torrington, CT",Metro,-1726,-0.9,1432,0.8,-1.2,4.3%,6.4%,6.5,4.3
"Trenton, NJ",Metro,22288,6,5837,1.6,3.8,18.5%,60.1%,16.5,11.2
"Tucson, AZ",Metro,-1059,-0.1,29684,2.9,0,13.3%,17.5%,7.2,10.9
"Tulsa, OK",Metro,9910,1,35797,3.7,0.3,14.9%,20.7%,10.5,11.7
"Tuscaloosa, AL",Metro,7367,3.1,9818,4.1,0.8,30.7%,52.8%,11.6,12.4
"Tyler, TX",Metro,9090,4.1,4241,1.9,2.1,19.0%,20.5%,5.4,4.1
"Urban Honolulu, HI",Metro,26142,2.6,20463,2.1,1.3,43.6%,52.7%,11,29.7
"Utica-Rome, NY",Metro,-4813,-1.6,2999,1,-1.6,11.5%,17.4%,8.2,8.7
"Vallejo-Fairfield, CA",Metro,15200,3.5,7674,1.8,2,17.4%,14.4%,7.4,14.8
"Virginia Beach-Norfolk-Newport News, VA-NC",Metro,11833,0.7,57660,3.4,0.2,21.6%,33.9%,8.5,15
"Visalia-Porterville, CA",Metro,13439,2.9,11530,2.5,1.2,10.5%,16.6%,3.8,5.7
"Waco, TX",Metro,10115,3.8,9776,3.7,1,32.4%,36.2%,5.7,8.2
"Warner Robins, GA",Metro,5723,3,9139,4.8,0.6,13.9%,18.1%,7.7,10
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metro,232136,3.8,218737,3.6,1.1,23.2%,42.5%,20.2,40.6
"Waterloo-Cedar Falls, IA",Metro,1952,1.1,4616,2.7,0.4,31.0%,23.1%,7.3,8.3
"Wichita, KS",Metro,-9989,-1.6,17401,2.7,-0.6,14.2%,28.7%,5.1,4.4
"Wilmington, NC",Metro,12196,4.4,19089,6.9,0.6,22.3%,33.2%,8.4,15
"Winston-Salem, NC",Metro,5309,0.8,22072,3.4,0.2,14.2%,17.2%,9.8,14.2
"Worcester, MA-CT",Metro,29236,3.1,14643,1.6,2,10.3%,17.4%,5.1,7.5
"Yakima, WA",Metro,15258,6.1,4670,1.9,3.3,32.6%,17.4%,3.4,5.9
"York-Hanover, PA",Metro,2258,0.5,8829,2,0.3,10.5%,11.8%,4.2,5.6
"Youngstown-Warren-Boardman, OH-PA",Metro,-16765,-3.1,3306,0.6,-5.1,19.9%,13.9%,3.2,5
"Yuba City, CA",Metro,4044,2.4,2476,1.5,1.6,6.1%,9.5%,5,6.2
"Yuma, AZ",Metro,1808,0.9,7261,3.6,0.2,8.2%,3.7%,8.4,5.9
NA,Metro,-101361,-0.6,268834,1.5,-0.4,12.7%,12.6%,4.6,5.1
"Autauga County, AL",County,-319,-0.6,1743,3.2,-0.2,14.3%,12.4%,10.9,8.4
"Baldwin County, AL",County,11405,5.6,16517,8.1,0.7,29.0%,23.3%,15.1,11
"Blount County, AL",County,-568,-1,138,0.2,-4.1,20.1%,40.7%,6,4.5
"Calhoun County, AL",County,-5920,-5.1,905,0.8,-6.5,24.8%,20.0%,5.8,8.1
"Chambers County, AL",County,240,0.7,83,0.2,2.9,32.0%,84.7%,4.6,18.2
